key,mite_acc,enzyme_name,enzyme_description,tailoring,id_uniprot,id_genpept,id_mibig,ncbi_nr_matches
zzzzz56,MITE0000077,MdpB1,C-methyltransferase,Methylation,B0BLM5,ABY66020.1,BGC0001008,76
zzzzz57,MITE0000024,XanH,FAD Halogenase,Halogenation,I1SKW0,ADE22292.1,BGC0000279,266
zzzzz58,MITE0000182,SxtN,N-sulfotransferase,Sulfonation,A0A3G2KSQ1,AYN62308.1,,22
zzzzz59,MITE0000198,PyrH,Flavin-dependent 5-halogenase,Halogenation,A4D0H5,AAU95674.1,,1223
zzzzz60,MITE0000124,JuiL,F420-dependent oxidoreductase,Reduction,A0A7G8Z072,QNL10607.1,BGC0002514,818
zzzzz61,MITE0000001,AviG2,O-methyltransferase,Methylation,Q93KW1,AAK83184.1,BGC0000026,24
zzzzz62,MITE0000116,StoC,NADH:flavin oxidoreductase,Dehydration,,TMU80020.1,BGC0002069,39
zzzzz63,MITE0000011,MpaG,O-methyltransferase,Methylation,F1DBB3,ADY00134.1,BGC0000104,314
zzzzz64,MITE0000081,AgqB,alkylresorcinol monooxygenase,Hydroxylation,I0HIZ0,BAL92977.1,BGC0001077,1090
zzzzz65,MITE0000138,AnkE,NRPS independent siderophore synthetase,Other,A0A397HK89,RHZ63459.1,,15
zzzzz66,MITE0000070,RebC,Putative FAD-monooxygenase,Oxidation,Q8KI25,AAN01210.1,BGC0000821,284
zzzzz67,MITE0000168,ProsA,Cytochrome P450,Oxidation,,WPM83320.1,BGC0003094,25
zzzzz68,MITE0000195,HrmJ,alpha-ketoglutarate-dependent dioxygenase,Other,F8S6W1,AEH41788.1,BGC0000374,37
zzzzz69,MITE0000017,MtmW,ketoreductase,Reduction,Q194Q1,CAK50787.1,BGC0000247,1980
zzzzz70,MITE0000032,SfmM2,SAM-dependent C-methyltransferase,Methylation,B0CN31,ABI22137.1,BGC0000422,245
zzzzz71,MITE0000034,GtfA,Glycosyltransferase,Glycosylation,Q6ZZJ7,CAE53349.1,BGC0000440,786
zzzzz72,MITE0000035,Tcp24 a.k.a Orf2* a.k.a. tAtf,Acyltransferase,Acylation|Hydrolysis,Q70AY4,CAE53365.1,BGC0000440,26
zzzzz73,MITE0000123,JuiM,Acetyltransferase,Acetylation,A0A7G8Z071,QNL10606.1,BGC0002514,27
zzzzz74,MITE0000103,TrlF,decarboxylase hydrolase,Other,A0A2S1JZI6,AWF83810.1,BGC0001487,4514
zzzzz75,MITE0000109,CmxA,L-lysine cyclodeaminase,Cyclization|Deamination,A0A346D7L2,AXM43051.1,BGC0001945,155
zzzzz76,MITE0000172,LauB1,Cytochrome P450,Biaryl bond formation,A0A160P4S3,BAU86124.1,,1094
zzzzz77,MITE0000007,CalO1,O-methyltransferase,Methylation,Q8KNE5,AAM70343.1,BGC0000033,49
zzzzz78,MITE0000094,TnmK2,Iterative cofactorless dioxygenase,Dioxygenation,A0A125SA15,AME18011.1,BGC0001378,50
zzzzz79,MITE0000003,AviG6,O-methyltransferase,Methylation,Q93KV9,AAK83186.1,BGC0000026,36
zzzzz80,MITE0000063,PtlD,Non-Heme Iron-Dependent Dehydrogenase/Oxygenase,Dehydration|Oxidation,Q82IY7,BAC70706.1,BGC0000678,161
zzzzz81,MITE0000091,CYP71BN1,Cytochrome P450 monooxygenase,Oxidation,K4CI56,AGK82807.1,BGC0001322,51
zzzzz82,MITE0000143,AvaC,kynurenine formamidase,Hydrolysis,P9WEK4,UZP48215.1,,5
zzzzz83,MITE0000210,CheE,Cytochrome P450 monooxygenase,Monooxygenation,P0CU31,EAQ93007.1,,15
zzzzz84,MITE0000092,BorH,Flavin-dependent halogenase,Halogenation,M9QSI0,AGI62217.1,BGC0001335,1493
zzzzz85,MITE0000052,BotC,Thiazole heterocyclisation-catalyzing YacO protein,Heterocyclization,K4MJT7,AFV25482.1,BGC0000469,29
zzzzz86,MITE0000120,ZopL9 a.k.a. ZopK,AsaB-like alphaKGDD,Hydroxylation|Ring contraction,A0A7R6QUG3,QTE75983.1,BGC0002224,2
zzzzz87,MITE0000097,PumI,Oxidoreductase,Oxidation,A0A2R4FXY7,AVT42378.1,BGC0001476,50
zzzzz88,MITE0000064,PtlI,Cytochrome P450,Oxidation,Q82IY3,BAC70710.1,BGC0000678,228
zzzzz89,MITE0000085,NapB5,putative methyltransferase,Methylation,A7KH06,ABS50465.1,BGC0001079,596
zzzzz90,MITE0000150,CYP158C1,Cytochrome P450,Biaryl bond formation,F8K0I8,AEW97391.1,,538
zzzzz91,MITE0000062,CotB4,Cytochrome P450,Hydroxylation,C9K1X7,BAI44340.1,BGC0000677,218
zzzzz92,MITE0000098,PumK,Carboxylate-Amine Ligase,Other,A0A2R4FXX8,AVT42380.1,BGC0001476,42
zzzzz93,MITE0000211,PyiA,O-methyltransferase,Methylation,A0A4P8WAD3,QCS37511.1,BGC0001881,19
zzzzz94,MITE0000096,TnmJ,Cofactorless oxygenase,Dioxygenation,A0A125SA13,AME18009.1,BGC0001378,30
zzzzz95,MITE0000029,KtzQ,Flavin-dependent halogenase,Halogenation,A8CF75,ABV56597.1,BGC0000378,1445
zzzzz96,MITE0000206,AoL4,Cytochrome P450,Hydroxylation,Q2U1B3,BAE64652.1,,116
zzzzz97,MITE0000128,OrfA,Halogenase,Halogenation,,UUL71895.1,BGC0002841,77
zzzzz98,MITE0000082,AgqC,alkylhydroxyhydroquinone methyltransferase,Methylation,I0HIZ1,BAL92978.1,BGC0001077,478
zzzzz99,MITE0000139,AnkD,pyridoxal-phosphate dependent enzyme,Other,A0A397HQN2,RHZ63463.1,,22
zzzz100,MITE0000164,PhoP,Short-chain dehydrogenases/reductase,Reduction,UPI00205EBDF6,UPG58745.1,BGC0003093,25
zzzz101,MITE0000046,BotRMT2,radical SAM methyltransferase ,Methylation,K4MJZ5,AFV25484.1,BGC0000469,63
zzzz102,MITE0000012,GrhO5,Flavoprotein monooxygenase,Monooxygenation,Q8KSX7,AAM33672.1,BGC0000230,173
zzzz103,MITE0000106,MstE,terpene cyclase,Cyclization,A0A2D1CM82,ATN39899.1,BGC0001664,8
zzzz104,MITE0000208,LrcF,Peptidase clostripain-family,Hydrolysis,,XMN14533.1,,136
zzzz105,MITE0000141,AnkF,o-methyltransferase,Methylation,A0A397HK53,RHZ63465.1,,10
zzzz106,MITE0000083,AgqD,UbiA-like prenyltransferase,Prenylation,I0HIZ2,BAL92979.1,BGC0001077,834
zzzz107,MITE0000072,TdaE,Flavoprotein dioxygenase,Dioxygenation,UPI0001633292,AFO93376.1,BGC0000932,172
zzzz108,MITE0000176,Ple1,Cytochrome P450,Hydroxylation,A0A6S6QI82,BCI98769.1,BGC0002181,7
zzzz109,MITE0000181,FrsC,specialized dehydrogenase for phenyllactate biosynthesis,Reduction,A0A7S9SW80,QPI18725.1,BGC0002125,3
zzzz110,MITE0000028,BhaA,Halogenase,Halogenation,O87676,CAA76550.1,BGC0000311,1521
zzzz111,MITE0000055,McjC,Lassopeptide ATP-dependent lactam synthetase (C-protein asparagine synthetase-like),Macrolactam formation,Q9X2V9,AAD28496.1,BGC0000581,600
zzzz112,MITE0000135,THAO,Cytochrome P450,Hydroxylation,D7MKC0,EFH40098.1,BGC0002857,793
zzzz113,MITE0000113,NgnD,Nuclear transport factor 2 family protein,Cyclization,A0A3S7PZF0,AXG22404.1,BGC0002024,79
zzzz114,MITE0000129,ThnJ,Aminotransferase,Deamination,A0A142I758,AMR44310.1,,22
zzzz115,MITE0000142,AnkC,FAD-dependent monooxygenase,Monooxygenation,A0A397HQ89,RHZ63464.1,,17
zzzz116,MITE0000006,CalO6,O-methyltransferase,Methylation,Q8KND2,AAM70356.1,BGC0000033,29
zzzz117,MITE0000144,AvaB,FAD-dependent monooxygenase ,Monooxygenation,P9WEK3,UZP48214.1,,8
zzzz118,MITE0000115,NgnP2,Cytochrome P450,Hydroxylation|Monooxygenation|Oxidation,A0A3S7PZF3,AXG22415.1,BGC0002024,21
zzzz119,MITE0000152,ScnB,Cytochrome P450,Biaryl bond formation,A0A0F7N5T9,AKH82808.1,BGC0003035,6
zzzz120,MITE0000084,NapB2,Monooxygenase,Oxidation,A7KGZ3,ABS50452.1,BGC0001079,1547
zzzz121,MITE0000004,AviG5,O-methyltransferase,Methylation,Q93KW5,AAK83180.1,BGC0000026,33
zzzz122,MITE0000053,BotCD,Macroamidine linkage-catalyzing YacO protein from Streptomyces sp. BC16019,Cyclization,K4MHF8,AFV25483.1,BGC0000469,69
zzzz123,MITE0000118,AcaR,NADPH-dependent oxidoreductase,Reduction,A0A5C4KWK7,TNB95040.1,BGC0002076,4999
zzzz124,MITE0000119,ScyL2,AsaB-like alphaKGDD,Hydroxylation,A0A8A5D4W2,QTE75998.1,BGC0002223,4
zzzz125,MITE0000179,Ple5 a.k.a. PLE5_RHOPP,Cytochrome P450,Hydroxylation,A0A6S6QPY4,BCI98773.1,BGC0002181,1
zzzz126,MITE0000015,MtmMII,C-methyltransferase,Methylation,Q194P8,CAK50790.1,BGC0000247,39
zzzz127,MITE0000153,SgrB,Cytochrome P450,Biaryl bond formation,UPI00068C79B2,,BGC0003046,72
zzzz128,MITE0000145,AvaD,GNAT family N-acetyltransferase,Acetylation,P9WEK5,UZP48216.1,,8
zzzz129,MITE0000058,PntD,Non-Heme Iron-Dependent Dehydrogenase/Oxygenase,Dehydration|Oxidation,E3VWI8,ADO85576.1,BGC0000653,163
zzzz130,MITE0000157,PhoL,Short-chain dehydrogenases/reductase,Reduction,UPI00205DA260,UPG58741.1,BGC0003093,287
zzzz131,MITE0000136,THAA1,Acyltransferase subfamily IIIa Arabidopsis lyrata ssp lyrata,Acetylation,UPI000A29E8C9,,BGC0002857,64
zzzz132,MITE0000080,PokMT1,C-methyltransferase,Methylation,C0JWB3,ACN64833.1,BGC0001061,77
zzzz133,MITE0000045,BotOMT,Carboxyl methyltransferase,Methylation,K4MJZ1,AFV25479.1,BGC0000469,79
zzzz134,MITE0000100,PumG,Aminotransferase,Amination,A0A2R4FXY6,AVT42376.1,BGC0001476,70
zzzz135,MITE0000031,SacF,SAM-dependent methyltransferase,Methylation,Q5JCL5,AAL33761.1,BGC0000421,212
zzzz136,MITE0000122,AbmA,Acetyltransferase,Acetylation,I1ZAY8,AFJ20767.1,BGC0002300,13
zzzz137,MITE0000101,Cxm5,Cytochrome P450,Heterocyclization,A0A290YXM6,AVL27080.1,BGC0001485,102
zzzz138,MITE0000201,NodW,Cytochrome P450 Monooxygenase,Oxidation,A0A2I6PJ08,AUM60065.1,BGC0001706,4
zzzz139,MITE0000099,PumJ,Pseudouridine synthase,Other,A0A2R4FXX7,AVT42379.1,BGC0001476,42
zzzz140,MITE0000033,GtfB,Glycosyltransferase,Glycosylation,Q6ZZI3,CAE53364.1,BGC0000440,2122
zzzz141,MITE0000131,ThnA,amidotransferase,Amination,A0A142I749,AMR44301.1,,2916
zzzz142,MITE0000009,MeiD,O-methyltransferase,Methylation,D6C4C6,ADC45587.1,BGC0000093,20
zzzz143,MITE0000190,AurH,Cytochrome P450 Monooxygenase,Oxidation,Q70KH6,CAE02604.1,BGC0000024,48
zzzz144,MITE0000185,FrsH,non-heme diiron monooxygenase,Hydroxylation,A0A7S9SWM2,QPI18730.1,BGC0002125,72
zzzz145,MITE0000147,PeuJ,FMN-dependent monooxygenase,Hydroxylation,,ATW47938.1,BGC0002964,137
zzzz146,MITE0000023,SsfM1,O-methyltransferase,Methylation,D6MSX0,ADE34508.1,BGC0000269,59
zzzz147,MITE0000199,NodM,FAD-dependent monooxygenase,Oxidation,A0A2I6PIZ2,AUM60051.1,BGC0001706,73
zzzz148,MITE0000054,MibH,Flavin-dependent halogenase,Halogenation,E2IHC5,ADK32563.1,BGC0000529,94
zzzz149,MITE0000163,PhoH,Decarboxylase,Decarboxylation,UPI0020648AC1,UPG58737.1,BGC0003093,645
zzzz150,MITE0000075,ClmM2,O-methyltransferase,Methylation,H1ZYV4,CCC55909.1,BGC0000973,79
zzzz151,MITE0000056,McjB,ATP-dependent protease (cysteine protease-like),Hydrolysis,Q9X2V8,AAD28495.1,BGC0000581,226
zzzz152,MITE0000117,StoR,NAD(P)H-dependent oxidoreductase,Reduction,,TMU76675.1,BGC0002069,4999
zzzz153,MITE0000137,AnkG,ATP-grasp protein,Other,A0A397HPF2,RHZ63466.1,,12
zzzz154,MITE0000178,Ple6,Cytochrome P450,Hydroxylation,A0A6S6QP77,BCI98774.1,BGC0002181,1
zzzz155,MITE0000107,Mca,amidase,Hydrolysis,A0A0H5B8U5,BAR97454.1,BGC0001910,800
zzzz156,MITE0000016,MtmOIV,Oxygenase,Decarboxylation|Oxidation,Q194P4,CAK50794.2,BGC0000247,33
zzzz157,MITE0000060,PntI,Cytochrome P450,Oxidation,E3VWJ1,ADO85579.1,BGC0000653,215
zzzz158,MITE0000108,CldC,Cytochrome P450,Oxidation,A0A0H5B5M5,BAR97452.1,BGC0001910,365
zzzz159,MITE0000102,TrlE,Flavoprotein monooxygenase,Other,A0A2S1JZI9,AWF83809.1,BGC0001487,58
zzzz160,MITE0000065,PtlE,Baeyer-Villiger monooxygenase,Oxidation,Q82IY8,BAC70705.1,BGC0000678,1388
zzzz161,MITE0000160,PhoC,Short-chain dehydrogenases/reductase (SDR),Reduction,UPI00205CF1EC,UPG58732.1,BGC0003093,1505
zzzz162,MITE0000155,SrsB,Methyltransferase,Methylation,,BAG12889.1,BGC0003089,4994
zzzz163,MITE0000194,PhoO,Cytochrome P450,Biaryl bond formation,UPI0020472753,UPG58744.1,BGC0003093,6
zzzz164,MITE0000110,NgnN4,Proline adenyltransferase,Other,A0A3S7PZH4,AXG22420.1,BGC0002024,137
zzzz165,MITE0000037,GtfE,Glycosyltransferase,Glycosylation,P96565,AEI58873.1,BGC0000455,1705
zzzz166,MITE0000112,Ngnp1,Cytochrome P450,Hydroxylation|Oxidation,A0A3S7Q0I4,AXG22409.1,BGC0002024,68
zzzz167,MITE0000044,BotCYP,Cytochrome P450,Decarboxylation|Oxidation,K4MJU2,AFV25487.2,BGC0000469,70
zzzz168,MITE0000105,GnmP,Persulfide methyltransferase,Methylation,A0A2H4T153,ATY69565.1,BGC0001611,55
zzzz169,MITE0000166,ProsF,O-methyltransferase,Methylation,,WPM83325.1,BGC0003094,19
zzzz170,MITE0000159,PhoD,Dehydratase,Dehydration,UPI002070062C,UPG58733.1,BGC0003093,1199
zzzz171,MITE0000086,NapH1,Vanadium-Dependent Chloroperoxidase,Halogenation|Heterocyclization,A7KGZ9,ABS50458.1,BGC0001079,118
zzzz172,MITE0000095,TnmK1,Hydrolase.,Cyclization,A0A125SA14,AME18010.1,BGC0001378,35
zzzz173,MITE0000202,BraB,N-acetylglucosamine transferase,Glycosylation,P9WER1,QOE88884.1,BGC0002260,195
zzzz174,MITE0000051,BotH,Epimerase,Epimerization,K4MHV9,AFV25485.1,BGC0000469,68
zzzz175,MITE0000158,PhoJ,Dioxygenase,Dioxygenation,UPI00204975FE,UPG58739.1,BGC0003093,162
zzzz176,MITE0000061,CotB3,Cytochrome P450,Hydroxylation,C9K1X6,BAI44339.1,BGC0000677,263
zzzz177,MITE0000111,NgnO3,Dioxygenase,Other|Oxidation,A0A3S7PZF2,AXG22416.1,BGC0002024,21
zzzz178,MITE0000114,NgnM,Methyltransferase,Methylation,A0A3S7PZH2,AXG22413.1,BGC0002024,156
zzzz179,MITE0000173,ScaB aka EmbB,Cytochrome P450,Biaryl bond formation,UPI00039B9B9D,MYS84939.1,BGC0003121,924
zzzz180,MITE0000154,PeuJ,Monooxygenase,Hydroxylation,A0A2S1P8Q4,AWH12915.1,BGC0003049,197
zzzz181,MITE0000030,KtzR,Flavin-dependent halogenase,Halogenation,A8CF74,ABV56598.1,BGC0000378,1101
zzzz182,MITE0000020,MtmGII,glycosyltransferase,Glycosylation,Q194P6,CAK50792.1,BGC0000247,24
zzzz183,MITE0000149,MciB,P450 installing crosslink,Biaryl bond formation,A0A1C6TS88,SCL44650.1,BGC0003008,10
zzzz184,MITE0000167,ProsD,Glyoxalase,Hydrolysis,,WPM83323.1,BGC0003094,9
zzzz185,MITE0000169,ProsC,Short-chain dehydrogenase/reductase,Reduction,,WPM83322.1,BGC0003094,22
zzzz186,MITE0000087,RslO4,Monooxygenase,Monooxygenation,W8QLE0,AHL46722.1,BGC0001179,83
zzzz187,MITE0000151,PspC,Cytochrome P450 monooxygenase,Oxidation,P0DUK3,,BGC0003032,29
zzzz188,MITE0000068,RebO,Flavin-dependent L-tryptophan oxidase,Oxidation,Q8KHS0,AAN01208.1,BGC0000821,183
zzzz189,MITE0000133,THAH,Cytochrome P450,Hydroxylation,D7MKC1,EFH41844.1,BGC0002857,223
zzzz190,MITE0000156,PhoM,Flavin-dependent monooxygenase,Monooxygenation,UPI0020464A74,UPG58742.1,BGC0003093,67
zzzz191,MITE0000010,MeiE,Cytochrome P450,Heterocyclization|Hydroxylation,Q6YL50,AAM97314.1,BGC0000093,41
zzzz192,MITE0000191,PatG,Decarboxylase,Decarboxylation,A0A075TXZ1,AIG62133.1,BGC0000120,150
zzzz193,MITE0000076,JamD,Flavin-dependent halogenase,Halogenation,Q6E7K6,AAS98776.1,BGC0001001,31
zzzz194,MITE0000205,XhR1,Cytochrome P450 Monooxygenase,Carboxylation|Hydroxylation,A0A4Z0Z6W8,TGJ85106.1,,40
zzzz195,MITE0000200,NodB,Terpene cyclase,Cyclization,A0A2I6PJ07,AUM60064.1,BGC0001706,167
zzzz196,MITE0000040,VhaA,Flavin-dependent halogenase,Halogenation,P96563,AEI58871.1,BGC0000455,1532
zzzz197,MITE0000204,AoL1,Short-chain dehydrogenase/reductase (SDR),Oxidation,Q2U1B0,BAE64655.1,,287
zzzz198,MITE0000171,ProsB,Decarboxylase,Decarboxylation,,WPM83321.1,BGC0003094,20
zzzz199,MITE0000161,PhoK,Reductase,Acetylation|Reduction,,UPG58740.1,BGC0003093,431
zzzz200,MITE0000059,PntM,Cytochrome P450,Other,E3VWI3,ADO85571.1,BGC0000653,146
zzzz201,MITE0000088,TlmF,cytochrome P450,Oxidation,A0A0P0G6I4,ALJ49912.1,BGC0001237,86
